排名,書名,作者,出版社,借閱次數
1,英國歷險記 ,李浩先編著,漢湘文化出版 :,2289
2,NEW全彩漫畫世界歷史（共12冊）,"南房秀久原作 ; 近藤二郎監修 ; 加藤廣史漫畫 ; 李彥樺, 卓文怡譯","遠足文化發行,",2156
3,義大利尋寶記（共2冊）,Gomdori Co.原作 ; 姜境孝原繪 ; 徐月珠譯,"三采文化,",1282
4,希臘文明尋寶記（共2冊）,Gomdori co.原作 ; 姜境孝原繪 ; 徐月珠譯,"三采文化,",1052
5,台灣四百年（共64冊）,王雅萍主編.,"泛亞文化,",1039
6,埃及文明尋寶記（共2冊）,Gomdori co.文 ; 姜境孝圖 ; 徐月珠譯,"三采文化,",1036
7,羅馬文明尋寶記（共2冊）,Gomdori co.文 ; 姜境孝圖 ; 徐月珠譯,"三采文化,",956
8,日本尋寶記,Gomdori Co.原作 ; 姜境孝原繪 ; [徐月珠譯],"三采文化,",886
9,臺灣尋寶記,Sweet Factory文 ; 姜境孝圖 ; 徐月珠譯,"三采文化,",878
10,芬蘭尋寶記,Story a.原作 ; 姜境孝原繪 ; 徐月珠譯,"三采文化,",858
11,墨西哥尋寶記,Gomdori Co.原編著 ; 姜境孝原繪著 ; 徐月珠譯,"三采文化,",852
12,菲律賓尋寶記,Gomdori Co.原作 ; 姜境孝原繪 ; 徐月珠譯,"三采文化,",848
13,捷克尋寶記,Gomdori Co.文 ; 姜境孝圖 ; 徐月珠譯,"三采文化,",833
14,洛杉磯尋寶記,Gomdori co.文 ; 姜境孝圖 ; 徐月珠譯,"三采文化,",810
15,以色列尋寶記,Gomdori Co.原作 ; 姜境孝原繪 ; 徐月珠譯,"三采文化,",804
16,穿越時空雅典.斯巴達大歷險（共2冊）,李守謙原著 ; 異正泰原繪 ; 徐月珠譯,"三采文化,",803
17,越南尋寶記,Gomdori Co.原編著 ; 姜境孝原繪著 ; 徐月珠譯,"三采文化,",789
18,瑞典尋寶記,Gomdori Co.原作 ; 姜境孝原繪 ; 徐月珠譯,"三采文化,",780
19,法國尋寶記,Gomdori Co.原作 ; 姜境孝原繪,"三采文化,",779
20,泰國尋寶記,Gomdori Co.原作 ; 姜境孝原繪 ; 徐月珠譯,"三采文化,",778
